,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0
2739,2739,0.9635551867921273,1.0,0,460.0,613.0,0.0,477.0,1,0.2661756569849085
2740,2740,-0.5713580737929351,-0.6,1,394.0,679.0,1.0,807.0,1,0.2818119042140137
2741,2741,0.5865308839481203,0.6,0,495.0,925.0,0.0,900.0,1,0.18526564521157063
2742,2742,0.7285705674533907,0.7,0,314.0,560.0,0.0,376.0,1,0.4538255813323492
2743,2743,-0.9562585472426988,-1.0,1,255.0,673.0,1.0,422.0,1,0.894556786576464
2744,2744,0.5863544226910229,0.6,0,410.0,882.0,0.0,388.0,1,0.7062763097947254
2745,2745,-0.5426846371707161,-0.5,1,495.0,714.0,1.0,1391.0,1,0.35937456325123396
2746,2746,0.5933158674005177,0.6,0,374.0,581.0,0.0,335.0,1,0.6654667128795164
2747,2747,0.6913284837222697,0.7,0,305.0,732.0,0.0,733.0,1,0.7486498389727699
2748,2748,-0.7861464483554412,-0.8,1,276.0,972.0,1.0,442.0,1,0.6592469954140718
2749,2749,-0.7944497090743803,-0.8,1,486.0,677.0,1.0,337.0,1,0.31198055242343137
2750,2750,-0.25312968760669996,-0.3,1,418.0,663.0,1.0,729.0,1,0.5845551169209364
2751,2751,0.04383428942561696,0.0,0,299.0,948.0,0.0,3173.0,1,0.44865218367131476
2752,2752,-0.9985901672180018,-1.0,1,403.0,645.0,1.0,902.0,1,0.4374545922968496
2753,2753,0.4329537304451738,0.4,0,424.0,912.0,0.0,1404.0,1,0.5720728851770193
2754,2754,0.5179184603401668,0.5,0,482.0,619.0,0.0,799.0,1,0.8256607508762969
2755,2755,-0.7346749710545861,-0.7,1,404.0,601.0,1.0,525.0,1,0.861504886200262
2756,2756,0.7716409550195409,0.8,0,499.0,679.0,0.0,692.0,1,0.22634441073528605
2757,2757,0.672187009818143,0.7,0,301.0,783.0,0.0,626.0,1,0.40371419032035805
2758,2758,-0.6404616130847609,-0.6,1,293.0,888.0,1.0,1699.0,1,0.18617412018399726
2759,2759,0.7423723695340079,0.7,0,397.0,836.0,0.0,717.0,1,0.6122507908050608
2760,2760,-0.035189720860733686,-0.0,1,448.0,794.0,1.0,1268.0,1,0.22888804017243924
2761,2761,0.854724087067201,0.9,0,460.0,909.0,0.0,651.0,1,0.8050599847610491
2762,2762,0.03464472224757098,0.0,0,478.0,705.0,0.0,1247.0,1,0.7019383455136355
2763,2763,-0.5294383894773436,-0.5,1,423.0,657.0,1.0,1070.0,1,0.7707501621649531
2764,2764,0.1543326955511628,0.2,0,462.0,926.0,0.0,3612.0,1,0.5299711128924078
2765,2765,-0.8891665554414279,-0.9,1,295.0,847.0,1.0,938.0,1,0.22840584582258397
2766,2766,0.2483121925300873,0.2,0,255.0,718.0,0.0,1567.0,1,0.1380350094498394
2767,2767,-0.6199695176088704,-0.6,1,465.0,811.0,1.0,474.0,1,0.8100725103140282
2768,2768,0.9182159971421773,0.9,0,254.0,611.0,0.0,355.0,1,0.5029211573846661
2769,2769,0.5410577026411769,0.5,0,264.0,557.0,0.0,559.0,1,0.7780793528663527
2770,2770,-0.7485105768074678,-0.7,1,395.0,859.0,1.0,796.0,1,0.7274193405707533
2771,2771,-0.29125816662185433,-0.3,1,295.0,683.0,1.0,2922.0,1,0.17878094752686657
2772,2772,-0.8334987193176171,-0.8,1,425.0,810.0,1.0,465.0,1,0.27935104296365265
2773,2773,-0.29932306700898814,-0.3,1,355.0,505.0,1.0,990.0,1,0.3709629140223343
2774,2774,0.4073903051476868,0.4,0,409.0,785.0,0.0,556.0,1,0.4864236913486799
2775,2775,-0.8596218909857061,-0.9,1,439.0,850.0,1.0,501.0,1,0.7332411874378998
2776,2776,-0.5371758052846056,-0.5,1,420.0,963.0,1.0,387.0,1,0.7396304747009728
2777,2777,0.6971827224172247,0.7,0,251.0,581.0,0.0,1318.0,1,0.15139355858300052
2778,2778,0.8197220054525618,0.8,0,290.0,723.0,0.0,787.0,1,0.9928628634209844
2779,2779,-0.6214799713837269,-0.6,1,277.0,985.0,1.0,278.0,1,0.183465710144331
2780,2780,0.5924366205234026,0.6,0,376.0,864.0,0.0,890.0,1,0.18803636270917828
2781,2781,-0.9712107703283355,-1.0,1,426.0,762.0,1.0,492.0,1,0.4225055366348929
2782,2782,0.4150991173553862,0.4,0,418.0,571.0,0.0,861.0,1,0.4262602356927623
2783,2783,0.044080362996596234,0.0,0,379.0,642.0,1.0,3719.0,0,0.504655699460636
2784,2784,-0.19703269873918772,-0.2,1,293.0,637.0,1.0,1050.0,1,0.8653111640534142
2785,2785,-0.6679510876008081,-0.7,1,340.0,615.0,1.0,585.0,1,0.8351798090538297
2786,2786,-0.3173595921461443,-0.3,1,306.0,645.0,1.0,479.0,1,0.2194514688961255
2787,2787,0.9668012872767087,1.0,0,373.0,604.0,0.0,713.0,1,0.6928328681057341
2788,2788,0.282273012430299,0.3,0,324.0,787.0,0.0,589.0,1,0.46019853967227176
2789,2789,-0.9408193676852274,-0.9,1,468.0,609.0,1.0,453.0,1,0.3793032277450531
2790,2790,0.27331088895147504,0.3,0,251.0,871.0,0.0,1388.0,1,0.7109361473518051
2791,2791,0.38959242927433824,0.4,0,414.0,728.0,0.0,788.0,1,0.9634594590840352
2792,2792,0.6523355179648074,0.7,0,450.0,591.0,0.0,959.0,1,0.4349524019218417
2793,2793,0.9152897286877923,0.9,0,413.0,929.0,0.0,328.0,1,0.33279779019449907
