,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
1930,1930,-0.6999917401609126,-0.7,1,339.0,807.0,1.0,234.0,1
1931,1931,-0.6272561858022967,-0.6,1,363.0,738.0,1.0,519.0,1
1932,1932,0.08044762008593298,0.1,0,497.0,931.0,1.0,602.0,0
1933,1933,0.3092240225074634,0.3,0,314.0,824.0,0.0,212.0,1
1934,1934,0.9077913185720585,0.9,0,465.0,695.0,0.0,310.0,1
1935,1935,0.7255510732509223,0.7,0,443.0,540.0,0.0,237.0,1
1936,1936,0.7614810882587004,0.8,0,289.0,607.0,0.0,184.0,1
1937,1937,-0.1940024903719777,-0.2,1,352.0,870.0,1.0,648.0,1
1938,1938,-0.0294305242096915,-0.0,1,317.0,762.0,0.0,3101.0,0
1939,1939,-0.22035661971156517,-0.2,1,268.0,591.0,1.0,1091.0,1
1940,1940,-0.34076178705401294,-0.3,1,408.0,962.0,1.0,370.0,1
1941,1941,-0.2318335532279352,-0.2,1,286.0,939.0,0.0,475.0,0
1942,1942,0.5620493254395318,0.6,0,412.0,631.0,0.0,567.0,1
1943,1943,0.5207612215267774,0.5,0,479.0,816.0,0.0,415.0,1
1944,1944,0.9290342669404001,0.9,0,327.0,808.0,0.0,245.0,1
1945,1945,-0.6044776965543535,-0.6,1,496.0,953.0,1.0,201.0,1
1946,1946,-0.4665675262193487,-0.5,1,474.0,538.0,1.0,858.0,1
1947,1947,-0.7487404828183941,-0.7,1,428.0,542.0,1.0,160.0,1
1948,1948,-0.9301153114440788,-0.9,1,471.0,712.0,1.0,187.0,1
1949,1949,-0.2976158051819988,-0.3,1,371.0,636.0,1.0,703.0,1
1950,1950,-0.23950665255107895,-0.2,1,293.0,648.0,1.0,589.0,1
1951,1951,-0.4939098047835293,-0.5,1,410.0,750.0,1.0,260.0,1
1952,1952,-0.8586244147433892,-0.9,1,447.0,963.0,1.0,350.0,1
1953,1953,0.8156149117046747,0.8,0,425.0,703.0,0.0,342.0,1
1954,1954,-0.6855851332743721,-0.7,1,333.0,883.0,1.0,534.0,1
1955,1955,-0.9694858775922734,-1.0,1,288.0,703.0,1.0,449.0,1
1956,1956,0.9198263320972568,0.9,0,275.0,609.0,0.0,306.0,1
1957,1957,-0.78859886910296,-0.8,1,372.0,561.0,1.0,497.0,1
1958,1958,-0.3070846898413466,-0.3,1,447.0,802.0,1.0,1591.0,1
1959,1959,-0.26178942684497497,-0.3,1,269.0,565.0,1.0,346.0,1
1960,1960,0.23100669111154093,0.2,0,268.0,759.0,0.0,483.0,1
1961,1961,-0.18087840390012455,-0.2,1,286.0,961.0,1.0,523.0,1
1962,1962,0.19121152872966274,0.2,0,395.0,579.0,0.0,686.0,1
1963,1963,-0.6614204340381604,-0.7,1,362.0,777.0,1.0,341.0,1
1964,1964,-0.9180879335395602,-0.9,1,271.0,758.0,1.0,581.0,1
1965,1965,-0.34526791822466496,-0.3,1,408.0,875.0,1.0,287.0,1
1966,1966,0.7670168225246239,0.8,0,257.0,821.0,0.0,212.0,1
1967,1967,0.8446304950275751,0.8,0,489.0,514.0,0.0,157.0,1
1968,1968,0.23767002611477395,0.2,0,459.0,809.0,0.0,362.0,1
1969,1969,0.5977605626834168,0.6,0,276.0,670.0,0.0,244.0,1
1970,1970,0.13748530387607483,0.1,0,475.0,711.0,0.0,1774.0,1
1971,1971,-0.31952476746602976,-0.3,1,332.0,861.0,1.0,507.0,1
1972,1972,0.2253203185268864,0.2,0,482.0,582.0,0.0,356.0,1
1973,1973,-0.45464014652965123,-0.5,1,263.0,579.0,1.0,298.0,1
1974,1974,0.4027301147013782,0.4,0,299.0,786.0,0.0,315.0,1
1975,1975,-0.14230303054140414,-0.1,1,392.0,638.0,1.0,990.0,1
1976,1976,0.12864516998141284,0.1,0,429.0,842.0,0.0,2419.0,1
1977,1977,0.6576103489570402,0.7,0,377.0,525.0,0.0,188.0,1
1978,1978,0.29257334462791884,0.3,0,292.0,561.0,0.0,617.0,1
1979,1979,0.8633471011494214,0.9,0,426.0,755.0,0.0,429.0,1
1980,1980,0.3065017738267606,0.3,0,450.0,710.0,0.0,350.0,1
1981,1981,-0.8089903066592405,-0.8,1,472.0,545.0,1.0,303.0,1
1982,1982,-0.3617730492212621,-0.4,1,297.0,702.0,1.0,1071.0,1
